Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,1.877755,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,1.894170,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,1.875292,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,1.838361,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,1.803893,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,1.825230,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,1.828514,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,1.848211,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,1.851494,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,1.859701,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,1.840004,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,1.810459,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,1.815382,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,1.817023,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,1.813741,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,1.795685,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,1.805535,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,1.785838,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,1.776810,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,1.746444,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,1.724285,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,1.779273,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,1.820308,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,1.831797,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,1.808818,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,1.810704,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,1.812346,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,1.813990,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,1.827122,432000
1962-02-12,7.420000,7.480000,7.413333,7.426667,1.828761,280000
1962-02-13,7.426667,7.433333,7.306667,7.306667,1.799213,256000
1962-02-14,7.306667,7.333333,7.280000,7.293334,1.795931,208000
1962-02-15,7.293334,7.293334,7.260000,7.266667,1.789364,227200
1962-02-16,7.266667,7.293334,7.260000,7.260000,1.787721,219200
1962-02-19,7.260000,7.293334,7.173333,7.186666,1.769664,280000
1962-02-20,7.190000,7.226666,7.190000,7.190000,1.770484,288000
1962-02-21,7.190000,7.240000,7.136667,7.136667,1.757352,363200
1962-02-23,7.146667,7.173333,7.146667,7.160000,1.763099,288000
1962-02-26,7.160000,7.166667,7.120000,7.133333,1.756530,299200
1962-02-27,7.133333,7.193333,7.093333,7.146667,1.759813,347200
1962-02-28,7.146667,7.160000,7.106667,7.160000,1.763099,267200
1962-03-01,7.186666,7.246666,7.186666,7.246666,1.784438,280000
1962-03-02,7.306667,7.346667,7.306667,7.306667,1.799213,243200
1962-03-05,7.306667,7.306667,7.253334,7.280000,1.792647,360000
1962-03-06,7.280000,7.313334,7.266667,7.286667,1.794288,184000
1962-03-07,7.286667,7.310000,7.266667,7.310000,1.800034,123200
1962-03-08,7.310000,7.326667,7.266667,7.326667,1.804138,184000
1962-03-09,7.333333,7.373333,7.333333,7.373333,1.815629,288000
1962-03-12,7.373333,7.393333,7.346667,7.366667,1.813990,280000
1962-03-13,7.366667,7.366667,7.333333,7.360000,1.812346,123200
1962-03-14,7.360000,7.380000,7.333333,7.346667,1.809063,195200
1962-03-15,7.346667,7.386667,7.333333,7.333333,1.805780,243200
1962-03-16,7.333333,7.366667,7.333333,7.366667,1.813990,160000
1962-03-19,7.380000,7.413333,7.380000,7.386667,1.818913,371200
1962-03-20,7.373333,7.373333,7.340000,7.340000,1.807421,160000
1962-03-21,7.340000,7.360000,7.320000,7.346667,1.809063,256000
1962-03-22,7.320000,7.320000,7.266667,7.266667,1.789364,240000
1962-03-23,7.273334,7.306667,7.273334,7.293334,1.795931,184000
1962-03-26,7.293334,7.320000,7.280000,7.290000,1.795110,131200
1962-03-27,7.273334,7.273334,7.146667,7.153333,1.761456,347200
1962-03-28,7.160000,7.213333,7.160000,7.193333,1.771307,328000
1962-03-29,7.193333,7.226666,7.173333,7.173333,1.766381,227200
1962-03-30,7.160000,7.160000,7.070000,7.103333,1.749143,435200
